"","DAP","Comment","Outcome","UNKDAP2_N_masked","CDM_table","variable","coding_system","code.DAP_UNIQUE_CODELIST","code.CDM_CODELIST","length_str"
"1","UNKDAP","BOTH","DP_HEPATOTOX",36,"MEDICINES","medicinal_product_atc_code","ATC","A01AD02","A01AD02",7
"2","UNKDAP","BOTH","DP_Polypharmacy",36,"MEDICINES","medicinal_product_atc_code","ATC","A01AD02","A01AD02",7
"3","UNKDAP","BOTH","DP_HEPATOTOX",47,"MEDICINES","medicinal_product_atc_code","ATC","A02BC01","A02BC01",7
"4","UNKDAP","BOTH","DP_Polypharmacy",47,"MEDICINES","medicinal_product_atc_code","ATC","A02BC01","A02BC01",7
"5","UNKDAP","BOTH","DP_HEPATOTOX",60,"MEDICINES","medicinal_product_atc_code","ATC","A02BC05","A02BC05",7
"6","UNKDAP","BOTH","DP_Polypharmacy",60,"MEDICINES","medicinal_product_atc_code","ATC","A02BC05","A02BC05",7
"7","UNKDAP","BOTH","DP_HEPATOTOX",57,"MEDICINES","medicinal_product_atc_code","ATC","A07AB","A07AB",5
"8","UNKDAP","BOTH","DP_Polypharmacy",57,"MEDICINES","medicinal_product_atc_code","ATC","A07AB","A07AB",5
"9","UNKDAP","BOTH","DP_COVOBESITY",1102,"MEDICINES","medicinal_product_atc_code","ATC","A08AA","A08AA",5
"10","UNKDAP","BOTH","DP_Polypharmacy",1102,"MEDICINES","medicinal_product_atc_code","ATC","A08AA","A08AA",5
"11","UNKDAP","BOTH","DP_COVOBESITY",1106,"MEDICINES","medicinal_product_atc_code","ATC","A08AB","A08AB",5
"12","UNKDAP","BOTH","DP_Polypharmacy",1106,"MEDICINES","medicinal_product_atc_code","ATC","A08AB","A08AB",5
"13","UNKDAP","BOTH","DP_INS",11075,"MEDICINES","medicinal_product_atc_code","ATC","A10A","A10A",4
"14","UNKDAP","BOTH","DP_COVDIAB",11075,"MEDICINES","medicinal_product_atc_code","ATC","A10A","A10A",4
"15","UNKDAP","BOTH","DP_Polypharmacy",11075,"MEDICINES","medicinal_product_atc_code","ATC","A10A","A10A",4
"16","UNKDAP","BOTH","DP_Polypharmacy",11075,"MEDICINES","medicinal_product_atc_code","ATC","A10A","A10A",4
"17","UNKDAP","BOTH","DP_OAB",4182,"MEDICINES","medicinal_product_atc_code","ATC","A10B","A10B",4
"18","UNKDAP","BOTH","DP_COVDIAB",4182,"MEDICINES","medicinal_product_atc_code","ATC","A10B","A10B",4
"19","UNKDAP","BOTH","DP_Polypharmacy",4182,"MEDICINES","medicinal_product_atc_code","ATC","A10B","A10B",4
"20","UNKDAP","BOTH","DP_Polypharmacy",4182,"MEDICINES","medicinal_product_atc_code","ATC","A10B","A10B",4
"21","UNKDAP","BOTH","DP_HEPATOTOX",46,"MEDICINES","medicinal_product_atc_code","ATC","A10BF01","A10BF01",7
"22","UNKDAP","BOTH","DP_Polypharmacy",46,"MEDICINES","medicinal_product_atc_code","ATC","A10BF01","A10BF01",7
"23","UNKDAP","BOTH","DP_HEPATOTOX",54,"MEDICINES","medicinal_product_atc_code","ATC","A14A","A14A",4
"24","UNKDAP","BOTH","DP_Polypharmacy",54,"MEDICINES","medicinal_product_atc_code","ATC","A14A","A14A",4
"25","UNKDAP","BOTH","DP_ANTITHROMBOTIC",6101,"MEDICINES","medicinal_product_atc_code","ATC","B01A","B01A",4
"26","UNKDAP","BOTH","DP_COVCVD",6101,"MEDICINES","medicinal_product_atc_code","ATC","B01A","B01A",4
"27","UNKDAP","BOTH","DP_Polypharmacy",6101,"MEDICINES","medicinal_product_atc_code","ATC","B01A","B01A",4
"28","UNKDAP","BOTH","DP_ANTICOAG",593,"MEDICINES","medicinal_product_atc_code","ATC","B01AA","B01AA",5
"29","UNKDAP","BOTH","DP_Polypharmacy",593,"MEDICINES","medicinal_product_atc_code","ATC","B01AA","B01AA",5
"30","UNKDAP","BOTH","DP_WAR",9754,"MEDICINES","medicinal_product_atc_code","ATC","B01AA03","B01AA03",7
"31","UNKDAP","BOTH","DP_Polypharmacy",9754,"MEDICINES","medicinal_product_atc_code","ATC","B01AA03","B01AA03",7
"32","UNKDAP","BOTH","DP_HEPARINS",15166,"MEDICINES","medicinal_product_atc_code","ATC","B01AB","B01AB",5
"33","UNKDAP","BOTH","DP_ANTICOAG",15166,"MEDICINES","medicinal_product_atc_code","ATC","B01AB","B01AB",5
"34","UNKDAP","BOTH","DP_Polypharmacy",15166,"MEDICINES","medicinal_product_atc_code","ATC","B01AB","B01AB",5
"35","UNKDAP","BOTH","DP_NOAC",101761,"MEDICINES","medicinal_product_atc_code","ATC","B01AC","B01AC",5
"36","UNKDAP","BOTH","DP_PLATELET",101761,"MEDICINES","medicinal_product_atc_code","ATC","B01AC","B01AC",5
"37","UNKDAP","BOTH","DP_COVCARDIOCEREBROVAS",101761,"MEDICINES","medicinal_product_atc_code","ATC","B01AC","B01AC",5
"38","UNKDAP","BOTH","DP_Polypharmacy",101761,"MEDICINES","medicinal_product_atc_code","ATC","B01AC","B01AC",5
"39","UNKDAP","BOTH","DP_Polypharmacy",101761,"MEDICINES","medicinal_product_atc_code","ATC","B01AC","B01AC",5
"40","UNKDAP","BOTH","DP_Polypharmacy",101761,"MEDICINES","medicinal_product_atc_code","ATC","B01AC","B01AC",5
"41","UNKDAP","BOTH","DP_HEPATOTOX",54,"MEDICINES","medicinal_product_atc_code","ATC","B01AC04","B01AC04",7
"42","UNKDAP","BOTH","DP_Polypharmacy",54,"MEDICINES","medicinal_product_atc_code","ATC","B01AC04","B01AC04",7
